date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:23	56059/56059	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:49:20%20GMT	https://gramentheme.com/html/xbuild/assets/img/about/01.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/about/01.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:23	30658/30658	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:49:20%20GMT	https://gramentheme.com/html/xbuild/assets/img/about/02.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/about/02.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:23	139/139	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:49:12%20GMT	https://gramentheme.com/html/xbuild/assets/img/about/about-shape-3.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/about/about-shape-3.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:23	2452/2452	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:49:08%20GMT	https://gramentheme.com/html/xbuild/assets/img/about/signature.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/about/signature.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:23	21886/21886	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:04:32%20GMT	https://gramentheme.com/html/xbuild/assets/img/service/service-bg.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/service/service-bg.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:24	55120/55120	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:05:00%20GMT	https://gramentheme.com/html/xbuild/assets/img/service/01.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/service/01.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:24	6083/6083	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2009:38:16%20GMT	https://gramentheme.com/html/xbuild/assets/img/icon/01.svg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/icon/01.svg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:25	39422/39422	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:04:58%20GMT	https://gramentheme.com/html/xbuild/assets/img/service/02.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/service/02.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:25	4790/4790	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2009:38:26%20GMT	https://gramentheme.com/html/xbuild/assets/img/icon/02.svg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/icon/02.svg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:25	50315/50315	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:04:56%20GMT	https://gramentheme.com/html/xbuild/assets/img/service/03.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/service/03.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:25	5492/5492	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2009:38:34%20GMT	https://gramentheme.com/html/xbuild/assets/img/icon/03.svg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/icon/03.svg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:26	52721/52721	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:04:54%20GMT	https://gramentheme.com/html/xbuild/assets/img/service/04.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/service/04.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:26	3548/3548	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jul%202024%2009:38:42%20GMT	https://gramentheme.com/html/xbuild/assets/img/icon/04.svg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/icon/04.svg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:26	28594/28594	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:12:34%20GMT	https://gramentheme.com/html/xbuild/assets/img/cta-bg.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/cta-bg.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:27	17034/17034	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:12:26%20GMT	https://gramentheme.com/html/xbuild/assets/img/cta-img.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/cta-img.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:27	1562/1562	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:12:24%20GMT	https://gramentheme.com/html/xbuild/assets/img/cta-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/cta-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:27	5616/5616	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:06:04%20GMT	https://gramentheme.com/html/xbuild/assets/img/skills/shape-1.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/skills/shape-1.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:28	28607/28607	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:06:02%20GMT	https://gramentheme.com/html/xbuild/assets/img/skills/shape-2.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/skills/shape-2.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:28	2050/2050	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:06:04%20GMT	https://gramentheme.com/html/xbuild/assets/img/skills/logo.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/skills/logo.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:29	80777/80777	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:06:08%20GMT	https://gramentheme.com/html/xbuild/assets/img/skills/01.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/skills/01.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:29	55167/55167	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:06:06%20GMT	https://gramentheme.com/html/xbuild/assets/img/skills/02.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/skills/02.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:30	1176/1176	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:09:54%20GMT	https://gramentheme.com/html/xbuild/assets/img/testimonial/arrow-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/testimonial/arrow-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:30	11446/11446	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:09:52%20GMT	https://gramentheme.com/html/xbuild/assets/img/testimonial/building-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/testimonial/building-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:31	5259/5259	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:09:48%20GMT	https://gramentheme.com/html/xbuild/assets/img/testimonial/client-1.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/testimonial/client-1.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:31	50661/50661	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:09:36%20GMT	https://gramentheme.com/html/xbuild/assets/img/testimonial/testimonial-image.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/testimonial/testimonial-image.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:31	4397/4397	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:09:46%20GMT	https://gramentheme.com/html/xbuild/assets/img/testimonial/client-2.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/testimonial/client-2.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:31	4635/4635	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:09:46%20GMT	https://gramentheme.com/html/xbuild/assets/img/testimonial/client-3.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/testimonial/client-3.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:32	7709/7709	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:12:16%20GMT	https://gramentheme.com/html/xbuild/assets/img/track.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/track.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:32	63731/63731	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:08:02%20GMT	https://gramentheme.com/html/xbuild/assets/img/team/bg-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/team/bg-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:32	113959/113959	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jul%202024%2017:37:58%20GMT	https://gramentheme.com/html/xbuild/assets/img/faq/bg-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/faq/bg-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:33	36191/36191	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:08:24%20GMT	https://gramentheme.com/html/xbuild/assets/img/team/02.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/team/02.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:33	38577/38577	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:08:26%20GMT	https://gramentheme.com/html/xbuild/assets/img/team/01.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/team/01.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:33	27746/27746	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:08:22%20GMT	https://gramentheme.com/html/xbuild/assets/img/team/03.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/team/03.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:33	40409/40409	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:08:22%20GMT	https://gramentheme.com/html/xbuild/assets/img/team/04.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/team/04.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:34	38530/38530	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2019:12:30%20GMT	https://gramentheme.com/html/xbuild/assets/img/contact-img-shape.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/contact-img-shape.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:34	134521/134521	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2019:12:38%20GMT	https://gramentheme.com/html/xbuild/assets/img/contact-bg.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/contact-bg.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:34	6827/6827	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:59:16%20GMT	https://gramentheme.com/html/xbuild/assets/img/news/shape-1.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/news/shape-1.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:34	6469/6469	---M--	200	added ('OK')	image/png	date:Sat,%2003%20Aug%202024%2018:59:18%20GMT	https://gramentheme.com/html/xbuild/assets/img/news/shape-2.png	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/news/shape-2.png	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:35	40567/40567	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:57:50%20GMT	https://gramentheme.com/html/xbuild/assets/img/news/02.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/news/02.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:35	191188/191188	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:57:52%20GMT	https://gramentheme.com/html/xbuild/assets/img/news/01.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/news/01.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
23:09:35	25720/25720	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Aug%202024%2018:57:46%20GMT	https://gramentheme.com/html/xbuild/assets/img/news/03.jpg	D:/New%20Web/gramentheme.com/html/xbuild/assets/img/news/03.jpg	(from https://gramentheme.com/html/xbuild/index-2.html)
